company,category,release_date,model_name,num_million_parameters
Google,vision,2023-12-06,Gemini 1.5 Pro,0
Google,vision,2023-12-06,Gemini 1.5 Flash,0
Google,vision,2023-12-06,Gemini 1.0 Pro,0
Google,vision,2023-12-06,Gemini 1.0 Pro Vision,0
Google,other,2023-12-06,Gemini Text Embedding,0
Meta,instruct,2023-02-24,LLaMA 7B,7000
Meta,instruct,2023-02-24,LLaMA 13B,13000
Meta,instruct,2023-02-24,LLaMA 33B,33000
Meta,instruct,2023-02-24,LLaMA 65B,65000
Meta,instruct,2023-07-18,LLaMA 2 7B,7000
Meta,instruct,2023-07-18,LLaMA 2 13B,13000
Meta,instruct,2023-07-18,LLaMA 2 70B,70000
Meta,instruct,2024-04-18,LLaMA 3 8B,8000
Meta,instruct,2024-04-18,LLaMA 3 70B,70000
Meta,instruct,2024-04-18,LLaMA 3 8B Instruct,8000
Meta,instruct,2024-04-18,LLaMA 3 70B Instruct,70000
Meta,instruct,2024-04-18,CodeLLaMA 7B,7000
OpenAI,other,2020-06-11,GPT-3 Small,125
OpenAI,other,2020-06-11,GPT-3 Medium,350
OpenAI,other,2020-06-11,GPT-3 Large,760
OpenAI,other,2020-06-11,GPT-3 XL,1300
OpenAI,other,2020-06-11,GPT-3 2.7B,2700
OpenAI,other,2020-06-11,GPT-3 6.7B,6700
OpenAI,other,2020-06-11,GPT-3 13B,13000
OpenAI,other,2020-06-11,GPT-3 175B,175000
OpenAI,other,2020-06-11,Ada,350
OpenAI,other,2020-06-11,Babbage,1300
OpenAI,other,2020-06-11,Curie,6700
OpenAI,other,2020-06-11,Davinci,175000
OpenAI,instruct,2022-03-15,text-davinci-002,0
OpenAI,instruct,2022-03-15,code-davinci-002,0
OpenAI,instruct,2022-11-28,text-davinci-003,0
OpenAI,chat,2022-11-30,ChatGPT,0
OpenAI,vision,2022-03-15,GPT-4,0
OpenAI,vision,2023-03-14,GPT-4 0314,0
OpenAI,vision,2023-06-27,GPT-4 0613,0
OpenAI,chat,2023-03-01,gpt-3.5-turbo,0
OpenAI,chat,2023-06-27,gpt-3.5-turbo-0613,0
OpenAI,chat,2023-08-24,gpt-3.5-turbo-0824,0
OpenAI,chat,2023-11-06,gpt-3.5-turbo-1106,0
OpenAI,chat,2024-01-25,gpt-3.5-turbo-0125,0
OpenAI,other,2022-12-16,text-embedding-ada-002,0
OpenAI,vision,2024-05-13,GPT-4o,0
OpenAI,vision,2024-05-13,GPT-4o-2024-05-13,0
OpenAI,vision,2024-04-09,GPT-4 Turbo,0
OpenAI,vision,2024-04-09,GPT-4 Turbo-2024-04-09,0
Anthropic,chat,2023-03-01,Claude v1,0
Anthropic,chat,2023-06-12,Claude v1.2,0
Anthropic,chat,2023-06-12,Claude v1.3,0
Anthropic,chat,2023-07-12,Claude v2,0
Anthropic,chat,2023-09-13,Claude v2.1,0
Anthropic,chat,2024-03-04,Claude 3 Haiku,0
Anthropic,chat,2024-03-04,Claude 3 Sonnet,0
Anthropic,chat,2024-03-04,Claude 3 Opus,0
Cohere,instruct,2022-11-15,command-light,0
Cohere,instruct,2022-11-15,command-medium,0
Cohere,instruct,2022-11-15,command-xl,0
Cohere,instruct,2022-11-15,command-j,0
Cohere,instruct,2022-11-15,command-light-nightly,0
Cohere,instruct,2022-11-15,command-medium-nightly,0
Cohere,instruct,2022-11-15,command-xl-nightly,0
Cohere,instruct,2022-11-15,command-j-nightly,0
Mistral,instruct,2023-09-01,Mistral 7B,7300
Mistral,instruct,2023-09-01,Mistral 13B,13000
Mistral,instruct,2023-09-01,Mistral 65B,65000
Mistral,instruct,2023-09-01,CodeStral 7B,7300
Microsoft,instruct,2023-05-03,Phi-1 1.5B,1500
Microsoft,instruct,2023-05-03,Phi-1 6.7B,6700
Microsoft,instruct,2023-05-03,Phi-1 13B,13000